Date,RV,CV,JV
2017-07-30,0.0015729641379592092,0.0010244474185722517,0.0005485167193869575
2017-07-31,0.0045160610953114055,0.0023208788706649062,0.0021951822246464993
2017-08-01,0.003870591230843581,0.0016975218804814575,0.0021730693503621236
2017-08-02,0.001062816263277587,0.0007631261570386914,0.00029969010623889564
2017-08-03,0.0004590018683908616,0.00026542706922483966,0.00019357479916602195
2017-08-04,0.00039964341947842333,0.00023326567946583507,0.00016637774001258826
2017-08-05,0.00297067684537541,0.0026756894254502507,0.00029498741992515934
2017-08-06,0.001108341823241218,0.0008688015320851245,0.00023954029115609338
2017-08-07,0.0006416212616852328,0.0003925505278797788,0.000249070733805454
2017-08-08,0.0016388230483846888,0.001735831617072529,0.0
2017-08-09,0.0026950903053955108,0.0014866430390713884,0.0012084472663241223
