Date,Close,High,Low,Open,Volume,Returns
11/10/2022,17586.77148,18054.3125,15834.01855,15883.1582,83202283721,0.107424899
11/11/2022,17034.29297,17650.94336,16543.48242,17583.25195,55871616488,-0.031414436
11/12/2022,16799.18555,17066.67578,16651.77539,17036.875,29717699419,-0.013802006
11/13/2022,16353.36523,16920.76563,16320.63477,16799.72266,27209183682,-0.02653821
11/14/2022,16618.19922,17109.32422,15872.94141,16352.02832,49630243054,0.016194464
11/15/2022,16884.61328,17051.96289,16542.55078,16617.48438,36599436183,0.016031464
11/16/2022,16669.43945,16960.29492,16430.11133,16884.3418,33925512989,-0.012743782
11/17/2022,16687.51758,16726.43945,16460.68359,16670.42578,27868914022,0.001084507
11/18/2022,16697.77734,16947.05859,16564.61133,16687.91211,26862218609,0.000614817
11/19/2022,16711.54688,16797.87695,16570.41016,16696.2207,16106223492,0.000824633
11/20/2022,16291.83203,16746.7793,16248.69238,16712.91992,21313378652,-0.02511526
11/21/2022,15787.28418,16291.22363,15599.04688,16291.22363,37429485518,-0.030969375
11/22/2022,16189.76953,16253.04785,15656.60645,15782.30078,30726828760,0.025494274
11/23/2022,16610.70703,16638.19336,16170.50293,16195.58887,32958875628,0.026000216
11/24/2022,16604.46484,16771.47461,16501.76758,16611.63672,26129037414,-0.000375793
11/25/2022,16521.8418,16603.31641,16388.4043,16602.26953,18678255976,-0.004975954
11/26/2022,16464.28125,16666.86328,16416.22852,16521.57617,18000008764,-0.003483906
11/27/2022,16444.62695,16594.40625,16437.02539,16463.88281,20443898509,-0.001193754
11/28/2022,16217.32227,16482.93359,16054.53027,16440.22266,27743025156,-0.013822429
11/29/2022,16444.98242,16522.25781,16139.39648,16217.63965,23581685468,0.014038085
11/30/2022,17168.56641,17190.9375,16445.47656,16445.47656,29523576583,0.044000289
12/1/2022,16967.13281,17197.49805,16888.38867,17168.00195,22895392882,-0.011732697
12/2/2022,17088.66016,17088.66016,16877.88086,16968.68359,19539705127,0.007162515
12/3/2022,16908.23633,17116.04102,16888.14063,17090.09766,16217776704,-0.010558103
12/4/2022,17130.48633,17157.76758,16903.43945,16908.16992,16824520830,0.013144482
12/5/2022,16974.82617,17378.15234,16922.43164,17128.89453,22209086834,-0.009086733
12/6/2022,17089.50391,17091.86328,16939.92188,16975.23828,19889922369,0.006755753
12/7/2022,16848.12695,17109.37695,16750.55859,17089.50586,19675404389,-0.014124281
12/8/2022,17233.47461,17267.91602,16788.7832,16847.34961,20496603770,0.02287184
12/9/2022,17133.15234,17280.54688,17100.83594,17232.14844,20328426366,-0.00582136
12/10/2022,17128.72461,17216.82617,17120.68359,17134.2207,12706781969,-0.000258431
12/11/2022,17104.19336,17245.63477,17091.82031,17129.71094,14122486832,-0.00143217
12/12/2022,17206.4375,17212.56445,16899.39453,17102.5,19617581341,0.005977724
12/13/2022,17781.31836,17930.08594,17111.76367,17206.44141,26634741631,0.033410801
12/14/2022,17815.65039,18318.53125,17739.51367,17782.06641,25534481470,0.001930792
12/15/2022,17364.86523,17846.74414,17322.58984,17813.64453,20964448341,-0.025302762
12/16/2022,16647.48438,17505.52539,16584.70117,17364.54688,24031608960,-0.041312204
12/17/2022,16795.0918,16800.58984,16614.0293,16646.98242,14463581825,0.00886665
12/18/2022,16757.97656,16815.38672,16697.82031,16795.60938,10924354698,-0.002209886
12/19/2022,16439.67969,16807.52734,16398.13672,16759.04102,17221074814,-0.018993753
12/20/2022,16906.30469,17012.98438,16427.86719,16441.78711,22722096615,0.028384069
12/21/2022,16817.53516,16916.80078,16755.91211,16904.52734,14882945045,-0.005250676
12/22/2022,16830.3418,16866.67383,16592.4082,16818.38086,16441573050,0.000761505
12/23/2022,16796.95313,16905.21875,16794.45898,16829.64453,15329265213,-0.001983838
12/24/2022,16847.75586,16864.70313,16793.52734,16796.97656,9744636213,0.003024521
12/25/2022,16841.98633,16860.55469,16755.25391,16847.50586,11656379938,-0.000342451
12/26/2022,16919.80469,16920.12305,16812.36914,16842.25,11886957804,0.004620498
12/27/2022,16717.17383,16959.8457,16642.07227,16919.29102,15748580239,-0.011975957
12/28/2022,16552.57227,16768.16992,16497.55664,16716.40039,17005713920,-0.009846255
12/29/2022,16642.3418,16651.75586,16508.68359,16552.32227,14472237479,0.005423298
12/30/2022,16602.58594,16643.42773,16408.47461,16641.33008,15929162910,-0.002388838
12/31/2022,16547.49609,16628.98633,16517.51953,16603.67383,11239186456,-0.003318148
1/1/2023,16625.08008,16630.43945,16521.23438,16547.91406,9244361700,0.004688563
1/2/2023,16688.4707,16759.34375,16572.22852,16625.50977,12097775227,0.003812952
1/3/2023,16679.85742,16760.44727,16622.37109,16688.84766,13903079207,-0.000516122
1/4/2023,16863.23828,16964.58594,16667.76367,16680.20508,18421743322,0.01099415
1/5/2023,16836.73633,16884.02148,16790.2832,16863.47266,13692758566,-0.001571581
1/6/2023,16951.96875,16991.99414,16716.42188,16836.47266,14413662913,0.006844107
1/7/2023,16955.07813,16975.01758,16914.19141,16952.11719,7714767174,0.000183423
1/8/2023,17091.14453,17091.14453,16924.05078,16954.14648,9768827914,0.008025112
1/9/2023,17196.55469,17389.95703,17093.99219,17093.99219,18624736866,0.006167531
1/10/2023,17446.29297,17484.7207,17162.99023,17192.94922,15808338949,0.014522577
1/11/2023,17934.89648,17934.89648,17337.99414,17446.35938,18372283782,0.028006151
1/12/2023,18869.58789,19030.08789,17995.20313,18117.59375,34971338710,0.052115796
1/13/2023,19909.57422,19964.32227,18753.16406,18868.90625,29225029694,0.055114417
1/14/2023,20976.29883,21075.14258,19907.82813,19910.53711,38967784639,0.053578474
1/15/2023,20880.79883,20993.74805,20606.98633,20977.48438,19298407543,-0.004552757
1/16/2023,21169.63281,21360.875,20715.74609,20882.22461,26792494050,0.013832516
1/17/2023,21161.51953,21438.66016,20978.5332,21175.83398,24999983362,-0.000383251
1/18/2023,20688.78125,21564.50195,20541.54492,21161.05078,30005625418,-0.022339524
1/19/2023,21086.79297,21163.01172,20685.38086,20686.74609,21152848261,0.019238046
1/20/2023,22676.55273,22692.35742,20919.12695,21085.37305,28799154319,0.075391254
1/21/2023,22777.625,23282.34766,22511.83398,22677.42773,32442278429,0.004457127
